"Supply","Demand","period","newsupply"
445,205,540,0
379,175,541,1209
830,380,542,0
368,170,543,615
247,115,544,0
170,80,545,593
423,195,546,0
302,140,547,670
368,170,548,0
1083,495,549,1407
324,150,550,0
335,155,551,505
170,80,552,0
192,90,553,406
214,100,554,0
181,85,555,395
214,100,556,0
401,185,557,813
412,190,558,0
225,105,559,450
225,105,560,0
346,160,561,604
258,120,562,0
841,385,563,1407
566,260,564,0
170,80,565,604
434,200,566,0
324,150,567,758
434,200,568,0
467,215,569,648
181,85,570,0
247,115,571,615
368,170,572,0
214,100,573,615
401,185,574,0
302,140,575,637
335,155,576,0
841,385,577,1924
1083,495,578,0
346,160,579,615
269,125,580,0
412,190,581,736
324,150,582,0
368,170,583,714
346,160,584,0
269,125,585,461
192,90,586,0
621,285,587,1242
621,285,588,0
247,115,589,472
225,105,590,0
258,120,591,670
412,190,592,0
247,115,593,659
412,190,594,0
313,145,595,725
412,190,596,0
258,120,597,406
148,70,598,0
269,125,599,461
192,90,600,0
313,145,601,505
192,90,602,0
214,100,603,428
214,100,604,0
401,185,605,648
247,115,606,0
346,160,607,758
412,190,608,0
423,195,609,648
225,105,610,0
401,185,611,934
533,245,612,0
489,225,613,1066
577,265,614,0
214,100,615,571
357,165,616,0
1083,495,617,1330
247,115,618,0
368,170,619,769
401,185,620,0
984,450,621,1473
489,225,622,0
335,155,623,824
489,225,624,0
445,205,625,780
335,155,626,0
302,140,627,736
434,200,628,0
258,120,629,736
478,220,630,0
203,95,631,428
225,105,632,0
346,160,633,659
313,145,634,0
269,125,635,450
181,85,636,0
412,190,637,813
401,185,638,0
368,170,639,1198
830,380,640,0
401,185,641,1022
621,285,642,0
709,325,643,1099
390,180,644,0
368,170,645,747
379,175,646,0
247,115,647,648
401,185,648,0
423,195,649,1044
621,285,650,0
368,170,651,857
489,225,652,0
401,185,653,802
401,185,654,0
192,90,655,681
489,225,656,0
346,160,657,703
357,165,658,0
192,90,659,846
654,300,660,0
401,185,661,791
390,180,662,0
412,190,663,681
269,125,664,0
269,125,665,472
203,95,666,0
511,235,667,1000
489,225,668,0
269,125,669,1022
753,345,670,0
357,165,671,824
467,215,672,0
170,80,673,571
401,185,674,0
368,170,675,857
489,225,676,0
489,225,677,857
368,170,678,0
566,260,679,1407
841,385,680,0
401,185,681,571
170,80,682,0
214,100,683,362
148,70,684,0
753,345,685,1737
984,450,686,0
401,185,687,736
335,155,688,0
214,100,689,615
401,185,690,0
236,110,691,428
192,90,692,0
511,235,693,659
148,70,694,0
269,125,695,571
302,140,696,0
511,235,697,703
192,90,698,0
236,110,699,1319
1083,495,700,0
577,265,701,956
379,175,702,0
302,140,703,560
258,120,704,0
214,100,705,615
401,185,706,0
984,450,707,1154
170,80,708,0
434,200,709,648
214,100,710,0
258,120,711,428
170,80,712,0
236,110,713,571
335,155,714,0
236,110,715,659
423,195,716,0
313,145,717,571
258,120,718,0
401,185,719,615
214,100,720,0
841,385,721,1242
401,185,722,0
236,110,723,461
225,105,724,0
302,140,725,516
214,100,726,0
258,120,727,670
412,190,728,0
214,100,729,362
148,70,730,0
401,185,731,615
214,100,732,0
170,80,733,384
214,100,734,0
324,150,735,494
170,80,736,0
269,125,737,736
467,215,738,0
368,170,739,769
401,185,740,0
225,105,741,1209
984,450,742,0
467,215,743,1550
1083,495,744,0
269,125,745,681
412,190,746,0
291,135,747,692
401,185,748,0
368,170,749,637
269,125,750,0
654,300,751,1055
401,185,752,0
401,185,753,802
401,185,754,0
236,110,755,461
225,105,756,0
368,170,757,582
214,100,758,0
841,385,759,1055
214,100,760,0
489,225,761,780
291,135,762,0
984,450,763,1495
511,235,764,0
214,100,765,615
401,185,766,0
984,450,767,1209
225,105,768,0
269,125,769,1110
841,385,770,0
214,100,771,472
